date,bynd
2019-01-20,11
2019-01-27,8
2019-02-03,8
2019-02-10,9
2019-02-17,9
2019-02-24,10
2019-03-03,9
2019-03-10,8
2019-03-17,11
2019-03-24,10
2019-03-31,11
2019-04-07,10
2019-04-14,10
2019-04-21,28
2019-04-28,100
2019-05-05,56
2019-05-12,51
2019-05-19,38
2019-05-26,39
2019-06-02,58
2019-06-09,98
2019-06-16,60
2019-06-23,41
2019-06-30,35
2019-07-07,32
2019-07-14,29
2019-07-21,55
2019-07-28,73
2019-08-04,45
2019-08-11,39
2019-08-18,32
2019-08-25,52
2019-09-01,26
2019-09-08,22
2019-09-15,23
2019-09-22,31
2019-09-29,21
2019-10-06,18
2019-10-13,19
2019-10-20,23
2019-10-27,37
2019-11-03,29
2019-11-10,25
2019-11-17,24
2019-11-24,18
2019-12-01,19
2019-12-08,16
2019-12-15,16
2019-12-22,17
2019-12-29,19
2020-01-05,29
2020-01-12,42